,PA,cover,suitability9,suitability12,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords$lat,coords$lon
502,0,0,392,540,-1.904000044,1.43550384,36,7,0,0.08484026,10.2869997,1.424000025,0.048,44.47360854,-63.58570743
503,0,0,447,295,-2.019515991,2.358946562,39,4,1,0.001624791,12.9119997,1.29400003,0.075999998,44.45953857,-63.73075331
504,0,0,431,296,-3.640675306,1.617608905,37,2,2,0.001687357,14,1.396000028,0.064000003,44.45924316,-63.72766993
505,0,0,456,308,-1.236047029,1.896009684,39,3,2,0.001193762,14.99800014,1.707000017,0.039999999,44.45894767,-63.72458657
506,0,0,538,257,-3.464939833,2.94775486,38,3,3,0.003677365,11.75800037,1.19599998,0.071999997,44.45793215,-63.73557269
507,0,0,NA,NA,-1.687455416,NA,40,5,2,0.080574922,11.58699989,1.345000029,0.072999999,44.45728498,-63.73820422
508,0,0,531,370,-0.059736013,2.412579298,40,4,2,0.100476712,12.00399971,1.523000002,0.018999999,44.4570795,-63.72104394
509,0,0,NA,NA,-1.778581619,NA,40,7,2,0.113751061,11.41600037,1.557999969,0.07,44.45632267,-63.7408317
510,0,0,361,223,-4.23390007,7.58438015,28,8,0,0.002977435,10.05099964,1.095999956,0.079000004,44.45586869,-63.66075841
511,0,0,360,122,-5.083210468,6.968214035,37,1,2,0.001131259,11.99100018,1.355999947,0.061999999,44.4550965,-63.73553709
513,0,0,345,338,-0.139562309,1.576188326,40,6,2,0.148382455,11.05799961,1.279999971,0.035999998,44.45425771,-63.71880962
514,0,0,418,217,-4.045062065,3.929409742,38,3,2,0.029984951,12.06700039,1.353999972,0.068000004,44.45320607,-63.73551336
515,0,0,351,281,-2.929719448,1.360844851,38,3,2,0.121399969,11.06000042,1.256000042,0.061000001,44.45204943,-63.71922244
517,0,0,404,275,-2.360963821,2.576372862,39,2,2,0.104507573,12.19099998,1.875,0.166999996,44.45045464,-63.7222821
518,0,0,NA,NA,-0.932894349,NA,41,9,1,NA,10.86200047,1.389999986,0.071999997,44.44942521,-63.73546591
519,0,0,314,420,-3.594875097,10.14277077,34,3,0,0.003763595,10.19699955,1.069000006,0.071000002,44.44956471,-63.71347345
520,0,0,NA,NA,-0.642299056,NA,41,4,1,0.000776664,12.68400002,1.468000054,0.125,44.44882612,-63.73061973
521,0,0,NA,NA,-1.548084617,NA,40,2,2,0.000709879,12.91800022,1.934000015,0.282999992,44.44884858,-63.72710098
522,0,0,113,130,-4.358874798,2.804981232,20,11,0,0.204064623,10.68500042,0.814999998,0.101999998,44.44514013,-64.14183402
