,X.1,X,PA,cover,suitability8,suitability9,bathy_m,slope,bpi_broad,bpi_fine,sub_type,rei,temp1m_median,temp1m_qrange,ws1m_q90,coords.lat,coords.lon,biomass,cover.prop
154,415,415,1,75,651,653,-0.443125427,1.052913666,20,1,1,0.049225435,12.61900043,1.521999955,0.25999999,44.70311924,-62.83695584,190.443518,0.75
155,441,441,1,75,787,778,0.552004278,0.081437387,23,1,1,0.045619845,13.29699993,1.50999999,0.188999996,44.69524654,-62.84007012,190.443518,0.75
156,559,559,1,75,436,689,0.237490907,0.23874934,13,2,1,0.001061714,15.55799961,3.799000025,0.186000004,44.3848015,-64.27555536,190.443518,0.75
157,432,432,1,75.41666412,462,645,-0.440944701,1.64276576,21,1,1,0.008062306,12.99800014,1.416000009,0.233999997,44.69871552,-62.84226941,192.2532923,0.754166641
158,389,389,1,76.7857132,628,702,0.36629656,0.383387774,20,1,1,0.160384029,13.91800022,2.266000032,0.090999998,44.71003742,-62.8276575,198.2684013,0.767857132
159,294,294,1,77.66666412,676,440,-0.130857959,2.174350977,16,4,1,0.090529174,13.41499996,1.493999958,0.035,44.82027172,-62.57145208,202.194655,0.776666641
160,610,610,1,78,560,645,-0.593909383,0.760891557,17,3,1,0.007012642,12.41100025,1.703999996,0.046999998,44.21653277,-64.38408141,203.691647,0.78
161,533,533,1,79.16666412,586,555,-0.696180463,1.193670869,15,7,2,0.034643359,12.91800022,1.621000051,0.064000003,44.4083421,-64.25540699,208.9802196,0.791666641
162,400,400,1,80,828,781,0.438668162,0.122814484,12,1,1,0.047617413,15.20800018,6.471000195,0.157000005,44.70761364,-63.08702176,212.804603,0.8
163,410,410,1,80,822,775,0.543268979,0.116594791,13,2,1,0.079475284,14.7130003,6.379000187,0.196999997,44.70477822,-63.0865757,212.804603,0.8
164,425,425,1,80,768,746,0.493559033,0.13852638,13,1,1,0.130359188,13.85599995,4.676000118,0.312999994,44.70005061,-63.08833577,212.804603,0.8
165,431,431,1,80,700,706,0.778957903,0.088040598,14,2,1,0.178741276,15.15600014,4.724999905,0.268000007,44.69879888,-63.07640613,212.804603,0.8
166,310,310,1,81.30000305,706,543,0.350355059,0.517566562,17,3,1,0.002257794,13.82900047,1.057999969,0.048,44.77715198,-62.68191997,218.8485319,0.813000031
167,188,188,1,82.5,813,769,1,0,10,1,1,0.028134029,19.31500053,6.335000038,0.186000004,45.07178473,-61.91774635,224.5117768,0.825
