source,subproject,id,site,subsite,year,month,day,SamplingType_1,SamplingType_2,SamplingType_3,latitude,longitude,seagrass,bathy_m,subObs,subObs_JT,SubObs_Jtcat,percent.cover,percent.cover.cat,percent.cover.notes,,
SG observations,,163,La Have,,2020,8,7,Surface observation,,,44.19549,-64.38059,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,164,La Have,,2020,8,7,Surface observation,,,44.19555,-64.38105,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,165,La Have,,2020,8,7,Surface observation,,,44.19602,-64.38033,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,166,La Have,,2020,8,7,Surface observation,,,44.19714,-64.37902,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,167,La Have,,2020,8,7,Surface observation,,,44.2007,-64.37713,1,,Sand & Mud,soft,1,NA,NA,,,
SG observations,,168,Rake Island,,2020,8,24,Surface observation,,,44.40057,-64.20778,1,,Mixed,mixed,2,NA,NA,,,
SG observations,,169,Second Peninsula,,2020,11,7,Surface observation,,,44.4001,-64.28011,1,,Mud,soft,1,NA,NA,,,
SG observations,,170,Second Peninsula,,2020,11,7,Surface observation,,,44.40024,-64.28012,1,,Mud,soft,1,NA,NA,,,
SG observations,,171,Second Peninsula,,2020,11,7,Surface observation,,,44.40044,-64.28011,1,,Mud,soft,1,NA,NA,,,
SG observations,,172,Second Peninsula,,2020,11,7,Surface observation,,,44.40079,-64.28008,1,,Mud,soft,1,NA,NA,,,
SG observations,,173,Second Peninsula,,2020,11,7,Surface observation,,,44.40111,-64.28024,1,,Mud,soft,1,NA,NA,,,
SG observations,,174,The Racketts,,2020,6,5,Surface observation,,,44.38646,-64.21905,1,,Mixed,mixed,2,NA,NA,,,
SG observations,,175,The Racketts,,2020,6,5,Surface observation,,,44.38632,-64.21827,1,,Mixed,mixed,2,NA,NA,,,
SG observations,,176,The Racketts,,2020,6,5,Surface observation,,,44.38619,-64.21741,1,,Mixed,mixed,2,NA,NA,,,
SG observations,,177,The Racketts,,2020,6,5,Surface observation,,,44.38657,-64.21666,1,,Mixed,mixed,2,NA,NA,,,
SPERA 2013,Biodiversity/Production,178,Cable Island,,2013,7,18,Suction sample,,,44.74505,-62.79092,0,3,Sand,soft,1,NA,NA,,,
SPERA 2013,Biodiversity/Production,179,Cable Island,,2013,7,18,Suction sample,,,44.7447,-62.79057,0,3,Sand,soft,1,NA,NA,,,
SPERA 2013,Biodiversity/Production,180,Cable Island,,2013,7,18,Suction sample,,,44.74453,-62.79105,0,3,Sand,soft,1,NA,NA,,,
